page_num,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
4,ACCEPTED,7,OK,22-380,RFP,Kennedy Newton Main - Phase 3C 86th Avenue and 120th Street to 84th Avenue and 123rd Street,2023-04-21,JJM Construction Ltd,N/A,No,'22-380'
4,ACCEPTED,7,OK,22-380,RFP,Kennedy Newton Main - Phase 3C 86th Avenue and 120th Street to 84th Avenue and 123rd Street,2023-04-21,Michels Canada Co.,N/A,No,'22-380'
4,ACCEPTED,7,OK,22-380,RFP,Kennedy Newton Main - Phase 3C 86th Avenue and 120th Street to 84th Avenue and 123rd Street,2023-04-21,Sandpiper Contracting LLP,N/A,No,'22-380'
4,ACCEPTED,7,OK,22-167,RFP,Construction Management for Services and Construction (At-Risk),2023-04-24,Kinetic Construction Ltd.,"$ 180,000.00",Yes,'22-167'
4,ACCEPTED,7,OK,22-167,RFP,Construction Management for Services and Construction (At-Risk),2023-04-24,Scott Construction (2005) Ltd,"$ 66,400.00",Yes,'22-167'
4,ACCEPTED,7,OK,22-167,RFP,Construction Management for Services and Construction (At-Risk),2023-04-24,Heatherbrae,N/A,No,'22-167'
4,ACCEPTED,7,OK,22-167,RFP,Construction Management for Services and Construction (At-Risk),2023-04-24,Peak Construction Ltd.,N/A,No,'22-167'
4,ACCEPTED,7,OK,22-167,RFP,Construction Management for Services and Construction (At-Risk),2023-04-24,Ventana Construction,N/A,No,'22-167'
4,ACCEPTED,7,OK,23-037,RFP,"Landscape Architectural Design Development Services - Cambpell Valley Regional Park, Little River Bowl and Mclean Pond",2023-04-24,Van der Zalm + Associates Consulting Ltd,"$ 76,632.00",Yes,'23-037'
4,ACCEPTED,7,OK,22-392,ITT,Lulu Island WWTP Power Reliability Project - DVR Installation,2023-04-26,Tritech Group Ltd.,"$ 1,083,000.25",Yes,'22-392'
4,ACCEPTED,7,OK,22-392,ITT,Lulu Island WWTP Power Reliability Project - DVR Installation,2023-04-26,North America Construction (1993) Ltd. (NAC),N/A,No,'22-392'
4,ACCEPTED,7,OK,22-172,ITT,Supply of Valve Actuators for Westburnco Pump Station No. 1,2023-04-27,Summit Valve & Controls,"$ 38,338.00",Yes,'22-172'
4,ACCEPTED,7,OK,22-172,ITT,Supply of Valve Actuators for Westburnco Pump Station No. 1,2023-04-27,CB Process Instruments & Controls (the “Supply Contractor”),"$ 52,120.00",Yes,'22-172'
4,ACCEPTED,7,OK,22-172,ITT,Supply of Valve Actuators for Westburnco Pump Station No. 1,2023-04-27,Spartan Controls Ltd.,N/A,No,'22-172'
