competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded,source_year,amount_missing,is_awarded_flag,amount_scope,group_award_flag,financial_kpi_eligible,awarded_amount_numeric,competition_type_standardized,vendor_name_clean
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,GHD Limited,,No,2023,True,False,not_awarded,False,False,,RFP,GHD Limited
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,O2 Planning + Design,,No,2023,True,False,not_awarded,False,False,,RFP,O2 Planning + Design
23-339,SS/NOIC,Archaeological Impact Assessment for the Condition Assessment of Seymour Main No.3 & SCFP Drain Pipeline on Riverside Drive,2023-09-01,ISL Engineering and Land Services Ltd.,"$ 87,305.00",Yes,2023,False,True,vendor_specific,False,True,87305.0,SS/NOIC,ISL Engineering and Land Services Ltd.
23-135,RFP,Maintenance Dredging for Northwest Langley WWTP,2023-09-06,Fraser River Pile & Dredge (GP) Inc.,"$ 385,000.00",Yes,2023,False,True,vendor_specific,False,True,385000.0,RFP,Fraser River Pile & Dredge (GP) Inc.
23-135,RFP,Maintenance Dredging for Northwest Langley WWTP,2023-09-06,JJM Construction Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,JJM Construction Ltd.
23-167,ITT,Construction Services for Replacement of Mystery Creek Bridge,2023-09-06,Klondike Infrastructure Ltd.,"$ 284,050.00",Yes,2023,False,True,vendor_specific,False,True,284050.0,ITT,Klondike Infrastructure Ltd.
23-167,ITT,Construction Services for Replacement of Mystery Creek Bridge,2023-09-06,Surespan Construction Ltd.,,No,2023,True,False,not_awarded,False,False,,ITT,Surespan Construction Ltd.
23-167,ITT,Construction Services for Replacement of Mystery Creek Bridge,2023-09-06,North Construction Ltd,,No,2023,True,False,not_awarded,False,False,,ITT,North Construction Ltd
23-167,ITT,Construction Services for Replacement of Mystery Creek Bridge,2023-09-06,Triex Contracting Ltd.,,No,2023,True,False,not_awarded,False,False,,ITT,Triex Contracting Ltd.
23-239,RFP,Consulting Services For Operationalization Of Water Quality Models Using MIKE OPERATIONS,2023-09-06,"Danish Hydraulic Institute Research Ltd. (DHI Water and Environment, Inc.)","$ 102,520.00",Yes,2023,False,True,vendor_specific,False,True,102520.0,RFP,"Danish Hydraulic Institute Research Ltd. (DHI Water and Environment, Inc.)"
23-118,RFP,Biota Monitoring Program for Burrard Inlet and Iona Waste Water Treatment Plant,2023-09-08,Ecofish Research Ltd.,"$ 793,388.27",Yes,2023,False,True,vendor_specific,False,True,793388.27,RFP,Ecofish Research Ltd.
